ATKName, Discription, CostCenter
BVMC-NICU-4005357000,BVMC-NICU-4005357000,4005357000
BVMC-Pediatric AcuteA5C-4005357001,BVMC-Pediatric AcuteA5C-4005357001,4005357001
BVMC-PsychAcute-4005757000,BVMC-PsychAcute-4005757000,4005757000
BVMC-Labora nd Delivery-4006257000,BVMC-Labora nd Delivery-4006257000,4006257000
BVMC-Newborn Nursery-4006257001,BVMC-Newborn Nursery-4006257001,4006257001
BVMC-Obstetrics Acute-4006257002,BVMC-Obstetrics Acute-4006257002,4006257002
BVMC-Fertility Control-4006257003,BVMC-Fertility Control-4006257003,4006257003
BVMC-BICU-4007157000,BVMC-BICU-4007157000,4007157000
BVMC-BurnWd-4007157001,BVMC-BurnWd-4007157001,4007157001
BVMC-SICU-4007257002,BVMC-SICU-4007257002,4007257002
BVMC-Surgery-4007257003,BVMC-Surgery-4007257003,4007257003
BVMC-WENZ-4007257004,BVMC-WENZ-4007257004,4007257004
BVMC-AmbulatorySurgeryUnit-4007257200,BVMC-AmbulatorySurgeryUnit-4007257200,4007257200
BVMC-OR-4007257201,BVMC-OR-4007257201,4007257201
JHCP-Central Scheduling-4400029565,JHCP-Central Scheduling-4400029565,4400029565
JHCP-Direct Primary Care-4400029611,JHCP-Direct Primary Care-4400029611,4400029611
JHCP-Remington Admin-4404012201,JHCP-Remington Admin-4404012201,4404012201
JHCP-Med Records-4404012211,JHCP-Med Records-4404012211,4404012211
JHCP-Wyman Lab-4404012234,JHCP-Wyman Lab-4404012234,4404012234
JHCP-Remington OBGYN-4404012291,JHCP-Remington OBGYN-4404012291,4404012291
JHCP-EBMC Radiology-4404022444,JHCP-EBMC Radiology-4404022444,4404022444
JHCP-EBMC Adult Medicine-4404022451,JHCP-EBMC Adult Medicine-4404022451,4404022451
JHCP-EBMC Podiatry-4404022463,JHCP-EBMC Podiatry-4404022463,4404022463
JHCP-EBMC Pediatrics-4404022471,JHCP-EBMC Pediatrics-4404022471,4404022471
JHCP-EBMC OB GYN-4404022491,JHCP-EBMC OB GYN-4404022491,4404022491
JHCP-Canton-4404052301,JHCP-Canton-4404052301,4404052301
JHCP-Dundalk-4404113001,JHCP-Dundalk-4404113001,4404113001
JHCP-GDMCPodiatry-4404113063,JHCP-GDMCPodiatry-4404113063,4404113063
JHCP-WMChiropractic-4404123531,JHCP-WMChiropractic-4404123531,4404123531
JHCP-WMAdultMedicine-4404123551,JHCP-WMAdultMedicine-4404123551,4404123551
JHCP-WMPediatrics-4404123571,JHCP-WMPediatrics-4404123571,4404123571
JHCP-Greenspring-4404134001,JHCP-Greenspring-4404134001,4404134001
JHCP-GlenBurnie-4404145001,JHCP-GlenBurnie-4404145001,4404145001
JHCP-Bowie-4404150001,JHCP-Bowie-4404150001,4404150001
JHCP-Germantown-4404160001,JHCP-Germantown-4404160001,4404160001
JHCP-BayviewIM-4404170001,JHCP-BayviewIM-4404170001,4404170001
JHCP-HeartCareBethesda-4404200001,JHCP-HeartCareBethesda-4404200001,4404200001
JHCP-HeartCareSharedSuites-4404200201,JHCP-HeartCareSharedSuites-4404200201,4404200201
JHCP-HeartCareRockville-4404200301,JHCP-HeartCareRockville-4404200301,4404200301
JHCP-HeartCareChevyChase-4404200401,JHCP-HeartCareChevyChase-4404200401,4404200401
JHCP-WatersEdge-4404214501,JHCP-WatersEdge-4404214501,4404214501
JHCP-HCGHPulmonology-4404220001,JHCP-HCGHPulmonology-4404220001,4404220001
JHCP-Annapolis-4404315001,JHCP-Annapolis-4404315001,4404315001
JHCP-OdentonFPStaff-4404325551,JHCP-OdentonFPStaff-4404325551,4404325551
JHCP-OdentonPedsStaff-4404325571,JHCP-OdentonPedsStaff-4404325571,4404325571
JHCP-BayviewOBatOdenton-4404325589,JHCP-BayviewOBatOdenton-4404325589,4404325589
JHCP-CharlesCounty-4404426301,JHCP-CharlesCounty-4404426301,4404426301
JHCP-Brandywine-4404436401,JHCP-Brandywine-4404436401,4404436401
JHCP-HowardCounty-4404516501,JHCP-HowardCounty-4404516501,4404516501
JHCP-HowardCountyPeds-4404516571,JHCP-HowardCountyPeds-4404516571,4404516571
JHCP-HowardObGyn-4404516591,JHCP-HowardObGyn-4404516591,4404516591
JHCP-FultonAdmin-4404526601,JHCP-FultonAdmin-4404526601,4404526601
JHCP-HCGHGeneralSurgery-4404536701,JHCP-HCGHGeneralSurgery-4404536701,4404536701
JHCP-Montgomery-4404617001,JHCP-Montgomery-4404617001,4404617001
JHCP-Westminster-4404717501,JHCP-Westminster-4404717501,4404717501
JHCP-Frederick-4404818001,JHCP-Frederick-4404818001,4404818001
JHCP-HagerPark-4404918501,JHCP-HagerPark-4404918501,4404918501
JHCP-CardiacSurgeryAdm-4405001001,JHCP-CardiacSurgeryAdm-4405001001,4405001001
JHCP-SOMCAdmin-4405002001,JHCP-SOMCAdmin-4405002001,4405002001
JHCP-Surg-4405002053,JHCP-Surg-4405002053,4405002053
JHCP-OrthoSurg-4405003001,JHCP-OrthoSurg-4405003001,4405003001
JHCP-Bethesda-4405004001,JHCP-Bethesda-4405004001,4405004001
JHCP-NCRNeuro-4405009001,JHCP-NCRNeuro-4405009001,4405009001
JHCP-DWTNBethesda-4405010001,JHCP-DWTNBethesda-4405010001,4405010001
JHCP-Rheum-4405010053,JHCP-Rheum-4405010053,4405010053
JHCP-Endo-4405010054,JHCP-Endo-4405010054,4405010054
JHCP-FoxhallSurg-4405012001,JHCP-FoxhallSurg-4405012001,4405012001
JHCP-DNA-4405014001,JHCP-DNA-4405014001,4405014001
JHCP-Urbana-4405015001,JHCP-Urbana-4405015001,4405015001
JHCP-Johns Hopkins Providers ACCBCC-4405033001,JHCP-Johns Hopkins Providers ACCBCC-4405033001,4405033001
JHCP-GERMANTOWN COVID VACCINE CLINIC -4409902010,JHCP-GERMANTOWN COVID VACCINE CLINIC -4409902010,4409902010
HCMC-TCAS DOC-4617515000,HCMC-TCAS DOC-4617515000,4617515000
HCMC-TCAS OR-4617525000,HCMC-TCAS OR-4617525000,4617525000
HCMC-TCAS PACU-4617555000,HCMC-TCAS PACU-4617555000,4617555000
HCMC-TCAS Sterile-4617575000,HCMC-TCAS Sterile-4617575000,4617575000
JHSC-Greenspring-4680020010,JHSC-Greenspring-4680020010,4680020010
JHSC-Knoll North-4680020020,JHSC-Knoll North-4680020020,4680020020
JHSC-White Marsh-4680020030,JHSC-White Marsh-4680020030,4680020030
JHSC-Lutherville-4680020040,JHSC-Lutherville-4680020040,4680020040
JHSC-Bethesda-4680020050,JHSC-Bethesda-4680020050,4680020050
JHSC-Belair-4680020060,JHSC-Belair-4680020060,4680020060
JHSC-Howard County-4680020070,JHSC-Howard County-4680020070,4680020070
JHSC-IVF-4680020080,JHSC-IVF-4680020080,4680020080
JHH-GSS COVID VACCINE CLINIC -4800010320,JHH-GSS COVID VACCINE CLINIC -4800010320,4800010320
JHH-Food Services-4800610405,JHH-Food Services-4800610405,4800610405
JHH-Zayed 12 W-4801336912,JHH-Zayed 12 W-4801336912,4801336912
JHH-Zayed 12 E-4801336915,JHH-Zayed 12 E-4801336915,4801336915
JHH-Bloom 12 S Ped Psych -4801336934,JHH-Bloom 12 S Ped Psych -4801336934,4801336934
JHH-Bloom 11 S Ped Onc-4801336939,JHH-Bloom 11 S Ped Onc-4801336939,4801336939
JHH-Marb 2-4801336940,JHH-Marb 2-4801336940,4801336940
JHH-Zayed 11W-4801336941,JHH-Zayed 11W-4801336941,4801336941
JHH-Zayed 11E-4801336942,JHH-Zayed 11E-4801336942,4801336942
JHH-Zayed 9 CTU-4801336943,JHH-Zayed 9 CTU-4801336943,4801336943
JHH-Weinberg 4CD-4801336944,JHH-Weinberg 4CD-4801336944,4801336944
JHH-Marburg 3-4801336945,JHH-Marburg 3-4801336945,4801336945
JHH-Meyer 3-4801336950,JHH-Meyer 3-4801336950,4801336950
JHH-Meyer 4-4801336951,JHH-Meyer 4-4801336951,4801336951
JHH-Meyer 5-4801336952,JHH-Meyer 5-4801336952,4801336952
JHH-Meyer 6-4801336953,JHH-Meyer 6-4801336953,4801336953
JHH-Nel 6-4801336960,JHH-Nel 6-4801336960,4801336960
JHH-Nelson 3 -4801336961,JHH-Nelson 3 -4801336961,4801336961
JHH-Meyer 9-4801336962,JHH-Meyer 9-4801336962,4801336962
JHH-Nelson 8-4801336963,JHH-Nelson 8-4801336963,4801336963
JHH-Meyer 8 -4801336964,JHH-Meyer 8 -4801336964,4801336964
JHH-Nelson 7-4801336965,JHH-Nelson 7-4801336965,4801336965
JHH- Osler 5-4801336966,JHH- Osler 5-4801336966,4801336966
JHH-Nelson 4 -4801336967,JHH-Nelson 4 -4801336967,4801336967
JHH- Maternity Inpatient-4801336974,JHH- Maternity Inpatient-4801336974,4801336974
JHH-Weinberg 4B GYN-4801336976,JHH-Weinberg 4B GYN-4801336976,4801336976
JHH-Meyer 7-4801336980,JHH-Meyer 7-4801336980,4801336980
JHH-Weinberg 4A-4801337020,JHH-Weinberg 4A-4801337020,4801337020
JHH-Weinberg 4B HEM-4801337021,JHH-Weinberg 4B HEM-4801337021,4801337021
JHH-Weinberg 5A-4801337022,JHH-Weinberg 5A-4801337022,4801337022
JHH-Weinberg 5B-4801337023,JHH-Weinberg 5B-4801337023,4801337023
JHH-Weinberg 5C-4801337024,JHH-Weinberg 5C-4801337024,4801337024
JHH-Weinberg 5D-4801337025,JHH-Weinberg 5D-4801337025,4801337025
JHH-Bloom 9S Infants-4801337030,JHH-Bloom 9S Infants-4801337030,4801337030
JHH-Bloom 10 S School-4801337031,JHH-Bloom 10 S School-4801337031,4801337031
JHH-Bloom 10 N Adoles-4801337032,JHH-Bloom 10 N Adoles-4801337032,4801337032
JHH-Bloom 9N Peds-4801337038,JHH-Bloom 9N Peds-4801337038,4801337038
JHH-Zayed 10 W CVPCU-4801337040,JHH-Zayed 10 W CVPCU-4801337040,4801337040
JHH-Nelson 5-4801337060,JHH-Nelson 5-4801337060,4801337060
JHH-Bloom 5 South-4801337061,JHH-Bloom 5 South-4801337061,4801337061
JHH-Zayed 3W NCCU-4801337110,JHH-Zayed 3W NCCU-4801337110,4801337110
JHH-PICU-4801337130,JHH-PICU-4801337130,4801337130
JHH-JHH NICU-4801337131,JHH-JHH NICU-4801337131,4801337131
JHH-Zayed 5 E-4801337140,JHH-Zayed 5 E-4801337140,4801337140
JHH-WICU-4801337141,JHH-WICU-4801337141,4801337141
JHH-SICU-4801337142,JHH-SICU-4801337142,4801337142
JHH-CCU-4801337160,JHH-CCU-4801337160,4801337160
JHH-Zayed 10 E MICU-4801337161,JHH-Zayed 10 E MICU-4801337161,4801337161
JHH-Bloom 4 PACU-4801357230,JHH-Bloom 4 PACU-4801357230,4801357230
JHH-Weinberg OR-4801357240,JHH-Weinberg OR-4801357240,4801357240
JHH-GORGeneral-4801357241,JHH-GORGeneral-4801357241,4801357241
JHH-ZBORNeurosurgery-4801357242,JHH-ZBORNeurosurgery-4801357242,4801357242
JHH-ZBORCardiac-4801357243,JHH-ZBORCardiac-4801357243,4801357243
JHH-ZBORPediatrics-4801357244,JHH-ZBORPediatrics-4801357244,4801357244
JHH-JHOC OR-4801357245,JHH-JHOC OR-4801357245,4801357245
JHH-JHOC PREP PACU-4801357246,JHH-JHOC PREP PACU-4801357246,4801357246
JHH-Zayed 3 PREPPACU-4801357290,JHH-Zayed 3 PREPPACU-4801357290,4801357290
JHH-Weinberg PREPPACU-4801357291,JHH-Weinberg PREPPACU-4801357291,4801357291
JHH-Zayed 5 PREPAC-4801357292,JHH-Zayed 5 PREPAC-4801357292,4801357292
JHH-Oncology IPOP-4801357420,JHH-Oncology IPOP-4801357420,4801357420
JHH-Radiation Oncology-4801357422,JHH-Radiation Oncology-4801357422,4801357422
JHH-Zayed 2 Endoscopy-4801357461,JHH-Zayed 2 Endoscopy-4801357461,4801357461
JHH-Zayed 5 CVIL-4801357462,JHH-Zayed 5 CVIL-4801357462,4801357462
JHH-OB LD-4801357474,JHH-OB LD-4801357474,4801357474
JHH-Ped ED-4801357630,JHH-Ped ED-4801357630,4801357630
JHH-Emergency Med Nursing-4801357681,JHH-Emergency Med Nursing-4801357681,4801357681
JHH-Bloom 12 N Child-4801377533,JHH-Bloom 12 N Child-4801377533,4801377533
JHH-3W Neuroscience -4801717001,JHH-3W Neuroscience -4801717001,4801717001
JHH-Zayed 12 West -4801717002,JHH-Zayed 12 West -4801717002,4801717002
JHH-Zayed 12 East -4801717005,JHH-Zayed 12 East -4801717005,4801717005
JHH- Central Pharm-4803117401,JHH- Central Pharm-4803117401,4803117401
JHH-Core Lab-4803317402,JHH-Core Lab-4803317402,4803317402
JHH-Phlebotomy-4803317434,JHH-Phlebotomy-4803317434,4803317434
JHH-Rad Admin -4803610090,JHH-Rad Admin -4803610090,4803610090
JHH-JHH Image School-4803610394,JHH-JHH Image School-4803610394,4803610394
JHH-CS Team-4803610480,JHH-CS Team-4803610480,4803610480
JHH-ERAD-4803610481,JHH-ERAD-4803610481,4803610481
JHH-Transport-4803610482,JHH-Transport-4803610482,4803610482
JHH-JHH Call Center-4803610484,JHH-JHH Call Center-4803610484,4803610484
JHH-JH RAD IT-4803610491,JHH-JH RAD IT-4803610491,4803610491
JHH-PE-4803610492,JHH-PE-4803610492,4803610492
JHH-DX-4803617413,JHH-DX-4803617413,4803617413
JHH-Nuc Med-4803617421,JHH-Nuc Med-4803617421,4803617421
JHH-Theranostics-4803617422,JHH-Theranostics-4803617422,4803617422
JHH-JHH Ultrasound -4803617431,JHH-JHH Ultrasound -4803617431,4803617431
JHH-CT-4803617442,JHH-CT-4803617442,4803617442
JHH-MRI-4803617451,JHH-MRI-4803617451,4803617451
JHH- IRC-4803617460,JHH- IRC-4803617460,4803617460
JHH-Mammo-4803617511,JHH-Mammo-4803617511,4803617511
JHH-JHOC COVID VACCINE CLINIC -4803817402,JHH-JHOC COVID VACCINE CLINIC -4803817402,4803817402
JHH-Nel 5-4804617001,JHH-Nel 5-4804617001,4804617001
JHH-Nel 3 -4804617002,JHH-Nel 3 -4804617002,4804617002
JHH-Mey 8 -4804617003,JHH-Mey 8 -4804617003,4804617003
JHH-Nel 8-4804617004,JHH-Nel 8-4804617004,4804617004
JHH-Nel 7-4804617006,JHH-Nel 7-4804617006,4804617006
JHH-Bloom 5 S-4804617010,JHH-Bloom 5 S-4804617010,4804617010
JHH-Nelson 6-4804617011,JHH-Nelson 6-4804617011,4804617011
JHH-Zayed 5 West-4804617012,JHH-Zayed 5 West-4804617012,4804617012
JHH-Mey 9-4804617013,JHH-Mey 9-4804617013,4804617013
JHH-Bloom 10 South School-4805317001,JHH-Bloom 10 South School-4805317001,4805317001
JHH-Bloom 9S Infant-4805317003,JHH-Bloom 9S Infant-4805317003,4805317003
JHH-Bloom 12 S Child-4805317004,JHH-Bloom 12 S Child-4805317004,4805317004
JHH-Bloom 10 North Adoles-4805317005,JHH-Bloom 10 North Adoles-4805317005,4805317005
JHH-Bloom 4 PICU-4805317006,JHH-Bloom 4 PICU-4805317006,4805317006
JHH-Bloom 9N Ped-4805317008,JHH-Bloom 9N Ped-4805317008,4805317008
JHH-Bloom 11 S Ped -4805317009,JHH-Bloom 11 S Ped -4805317009,4805317009
JHH-Peds ED-4805317601,JHH-Peds ED-4805317601,4805317601
JHH-Tech-4805510001,JHH-Tech-4805510001,4805510001
JHH-CIRU -4805517000,JHH-CIRU -4805517000,4805517000
JHH-PT-4805518006,JHH-PT-4805518006,4805518006
JHH-Mey 3-4805717003,JHH-Mey 3-4805717003,4805717003
JHH-Mey 4-4805717004,JHH-Mey 4-4805717004,4805717004
JHH-Mey 5-4805717005,JHH-Mey 5-4805717005,4805717005
JHH-Mey 6-4805717006,JHH-Mey 6-4805717006,4805717006
JHH-Zayed 8 LD-4806217004,JHH-Zayed 8 LD-4806217004,4806217004
JHH-SURG ICU-4807217000,JHH-SURG ICU-4807217000,4807217000
JHH-Surg 11 W-4807217003,JHH-Surg 11 W-4807217003,4807217003
JHH-CTU-4807217006,JHH-CTU-4807217006,4807217006
JHH-Surg 11 E-4807217007,JHH-Surg 11 E-4807217007,4807217007
JHH-Marburg 2-4807217010,JHH-Marburg 2-4807217010,4807217010
JHH-ENIS-4807217220,JHH-ENIS-4807217220,4807217220
PHQ-Bayview-5400010110,PHQ-Bayview-5400010110,5400010110
PHQ-JHOC-5400010130,PHQ-JHOC-5400010130,5400010130
PHQ-Weinberg-5400010140,PHQ-Weinberg-5400010140,5400010140
PHQ-MonumentStreet-5400010160,PHQ-MonumentStreet-5400010160,5400010160
PHQ-HowardCounty-5400010180,PHQ-HowardCounty-5400010180,5400010180
PHQ-Arcade-5400010190,PHQ-Arcade-5400010190,5400010190
PHQ-Greenspring-5400010260,PHQ-Greenspring-5400010260,5400010260
HC-Home Care-5450030010,HC-Home Care-5450030010,5450030010
JHCP-Shared Suites-5502002010,JHCP-Shared Suites-5502002010,5502002010
JHCP-Odenton Shared Suite-5502002012,JHCP-Odenton Shared Suite-5502002012,5502002012
JHI-Rad Admin-5550000100,JHI-Rad Admin-5550000100,5550000100
JHI-Green Spring-5550000200,JHI-Green Spring-5550000200,5550000200
JHI-GSS MRI-5550000210,JHI-GSS MRI-5550000210,5550000210
JHI-GSS CT-5550000220,JHI-GSS CT-5550000220,5550000220
JHI-GSS MAMMO-5550000230,JHI-GSS MAMMO-5550000230,5550000230
JHI-GSS DIAGNOSTIC-5550000240,JHI-GSS DIAGNOSTIC-5550000240,5550000240
JHI-GSS ULTRASOUND-5550000250,JHI-GSS ULTRASOUND-5550000250,5550000250
JHI-GSS PET-5550000260,JHI-GSS PET-5550000260,5550000260
JHI-GSS IR-5550000270,JHI-GSS IR-5550000270,5550000270
JHI-White Marsh-5550000300,JHI-White Marsh-5550000300,5550000300
JHI-WM MRI-5550000310,JHI-WM MRI-5550000310,5550000310
JHI-WM CT-5550000320,JHI-WM CT-5550000320,5550000320
JHI-WM MAMMO-5550000330,JHI-WM MAMMO-5550000330,5550000330
JHI-WM DIAGNOSTIC-5550000340,JHI-WM DIAGNOSTIC-5550000340,5550000340
JHI-WM ULTRASOUND-5550000350,JHI-WM ULTRASOUND-5550000350,5550000350
JHI-Columbia-5550000400,JHI-Columbia-5550000400,5550000400
JHI-CMC MRI-5550000410,JHI-CMC MRI-5550000410,5550000410
JHI-CMC CT-5550000420,JHI-CMC CT-5550000420,5550000420
JHI-CMC MAMMO CC-5550000430,JHI-CMC MAMMO CC-5550000430,5550000430
JHI-CMC DIAGNOSTIC-5550000440,JHI-CMC DIAGNOSTIC-5550000440,5550000440
JHI-CMC ULTRASOUND-5550000450,JHI-CMC ULTRASOUND-5550000450,5550000450
JHI-Bethesda-5550000500,JHI-Bethesda-5550000500,5550000500
JHI-Odenton-5550000600,JHI-Odenton-5550000600,5550000600
SH-ADSRG-6001116015,SH-ADSRG-6001116015,6001116015
SH-ORTHO-6001116016,SH-ORTHO-6001116016,6001116016
SH-ONC-6001116018,SH-ONC-6001116018,6001116018
SH-ADMED-6001116020,SH-ADMED-6001116020,6001116020
SH-ACUMS-6001116021,SH-ACUMS-6001116021,6001116021
SH-4800 Surgical-6001116022,SH-4800 Surgical-6001116022,6001116022
SH-4700 Surgical-6001116023,SH-4700 Surgical-6001116023,6001116023
SH-Med Surg-6001116024,SH-Med Surg-6001116024,6001116024
SH-Acute Med Surg-6001116025,SH-Acute Med Surg-6001116025,6001116025
SH-4300 Med Surg-6001116026,SH-4300 Med Surg-6001116026,6001116026
SH-4300 4400 Med Surg-6001116027,SH-4300 4400 Med Surg-6001116027,6001116027
SH-ICU600-6001126340,SH-ICU600-6001126340,6001126340
SH-PEDS-6001136381,SH-PEDS-6001136381,6001136381
SH-PCU-6001146280,SH-PCU-6001146280,6001146280
SH-BH-6001156343,SH-BH-6001156343,6001156343
SH-CDU-6001206377,SH-CDU-6001206377,6001206377
SH-ED-6001206378,SH-ED-6001206378,6001206378
SH-OR-6001316360,SH-OR-6001316360,6001316360
SH-CVOR-6001316363,SH-CVOR-6001316363,6001316363
SH-ENDO-6001326362,SH-ENDO-6001326362,6001326362
SH-Presurgical Test-6001336361,SH-Presurgical Test-6001336361,6001336361
SH-PACU-6001336365,SH-PACU-6001336365,6001336365
SH-Anesthesia-6001337435,SH-Anesthesia-6001337435,6001337435
SH-Sterile Processing-6001338465,SH-Sterile Processing-6001338465,6001338465
SH-NSGADMN-6001408750,SH-NSGADMN-6001408750,6001408750
SH-ELDERWELL-6001508652,SH-ELDERWELL-6001508652,6001508652
SH-CRIS-6001606346,SH-CRIS-6001606346,6001606346
SH-RAPRESP-6001606347,SH-RAPRESP-6001606347,6001606347
SH-HRO Training-6002030104,SH-HRO Training-6002030104,6002030104
SH-XRAY-6002207421,SH-XRAY-6002207421,6002207421
SH-CT-6002207422,SH-CT-6002207422,6002207422
SH-NUCMED-6002207424,SH-NUCMED-6002207424,6002207424
SH-IR-6002207426,SH-IR-6002207426,6002207426
SH-MRI-6002207428,SH-MRI-6002207428,6002207428
SH-US-6002207430,SH-US-6002207430,6002207430
SH-CV Holding-6002407450,SH-CV Holding-6002407450,6002407450
SH-CATH-6002407456,SH-CATH-6002407456,6002407456
SH-Clinical Support-6002508752,SH-Clinical Support-6002508752,6002508752
SH-NIHSTRK-6003107477,SH-NIHSTRK-6003107477,6003107477
SH-Supply Chain-6004008690,SH-Supply Chain-6004008690,6004008690
SH-FCS-6005108524,SH-FCS-6005108524,6005108524
SH-PTACC-6005108525,SH-PTACC-6005108525,6005108525
SH-IST-6005308697,SH-IST-6005308697,6005308697
SH-Suburban COVID -6005408660,SH-Suburban COVID -6005408660,6005408660
SMH-DC HOUSING COVID GO TEAMS -6301010106,SMH-DC HOUSING COVID GO TEAMS -6301010106,6301010106
SMH-PACU-6301020132,SMH-PACU-6301020132,6301020132
SMH-Amb Surg Ctr-6301020134,SMH-Amb Surg Ctr-6301020134,6301020134
SMH-InOut Surgery-6301020135,SMH-InOut Surgery-6301020135,6301020135
SMH-PSTC-6301020140,SMH-PSTC-6301020140,6301020140
SMH-OPSEndoscopy-6301020144,SMH-OPSEndoscopy-6301020144,6301020144
SMH-OPSInf Recovery-6301020145,SMH-OPSInf Recovery-6301020145,6301020145
SMH-OPSPain Mgt-6301020146,SMH-OPSPain Mgt-6301020146,6301020146
SMH-Telemetry Card Care-6301020221,SMH-Telemetry Card Care-6301020221,6301020221
SMH-NursingIntensive Care-6301020222,SMH-NursingIntensive Care-6301020222,6301020222
SMH-EDER-6301020224,SMH-EDER-6301020224,6301020224
SMH-Stroke-6301020225,SMH-Stroke-6301020225,6301020225
SMH-NICHE-6301020230,SMH-NICHE-6301020230,6301020230
SMH-Nursing 7 West-6301020258,SMH-Nursing 7 West-6301020258,6301020258
SMH-Elec Shock Therapy-6301020262,SMH-Elec Shock Therapy-6301020262,6301020262
SMH-6B AKA 4East-6301020351,SMH-6B AKA 4East-6301020351,6301020351
SMH-6A no AKA -6301020352,SMH-6A no AKA -6301020352,6301020352
SMH-5A-6301020353,SMH-5A-6301020353,6301020353
SMH-Nursing355 6 East-6301020355,SMH-Nursing355 6 East-6301020355,6301020355
SMH-Nursing356 6 East-6301020356,SMH-Nursing356 6 East-6301020356,6301020356
SMH-Lactation Svcs-6301020410,SMH-Lactation Svcs-6301020410,6301020410
SMH-FCCUNursing-6301020412,SMH-FCCUNursing-6301020412,6301020412
SMH-Nursing Nursery-6301020413,SMH-Nursing Nursery-6301020413,6301020413
